amfi_code,cagr_pct
100016,2.64
100025,4.46
100033,30.12
101206,23.54
101207,7.94
101208,6.51
102885,18.23
102886,1.17
102887,16.84
118632,24.05
118633,16.27
118634,16.37
118635,15.96
118636,5.32
119092,6.37
119093,7.9
119094,28.21
119095,1.52
119120,5.89
119551,25.8
119552,21.52
119598,32.42
119599,2.05
120503,18.79
120504,23.3
120505,32.83
120506,17.08
120507,7.24
120841,13.53
120842,6.7
120843,30.91
120844,6.92
125497,19.02
125498,11.3
148567,30.97
148568,22.52
148569,31.95
149322,13.39
149323,29.58
149324,32.29
