amfi_code,sharpe_ratio
100016,-0.202
100025,-0.567
100033,1.094
101206,1.027
101207,0.163
101208,-0.816
102885,0.817
102886,-0.206
102887,0.62
118632,1.082
118633,0.645
118634,0.448
118635,0.665
118636,-0.357
119092,0.031
119093,0.13
119094,0.998
119095,-0.076
119120,-0.227
119551,1.208
119552,0.953
119598,0.945
119599,-0.057
120503,0.798
120504,1.027
120505,1.18
120506,0.649
120507,0.496
120841,0.494
120842,0.076
120843,1.307
120844,-0.089
125497,0.776
125498,0.301
148567,1.448
148568,0.926
148569,1.235
149322,0.464
149323,1.132
149324,0.95
